;Loja;Processador;Preço médio
0;Amazon;i3;4458.587924528302
1;Amazon;i5;5038.873770491804
2;Amazon;i7;6837.325128205127
3;Americanas;i3;3372.871951219512
4;Americanas;i5;4609.905
5;Americanas;i7;5555.888837209304
6;Casas Bahia;i3;5009.59632183908
7;Casas Bahia;i5;4596.7380882352945
8;Casas Bahia;i7;4599.347391304347
9;Magazine Luiza;i3;2940.096744186047
10;Magazine Luiza;i5;4743.257471264366
11;Magazine Luiza;i7;6435.44864864865
12;Submarino;i3;3013.252142857144
13;Submarino;i5;4109.031280487801
14;Submarino;i7;7017.995
